Table S1. Detailed library-level information for samples passing through screening process.;;;;;;;;;;;;;;;;;;;;;;;;;
Library ID;Lab Indiv. ID;Skeletal codes;UDG;Skeletal element;Date (BCE/CE);Culture;Location;Country;Extraction protocol (see key below);Library preparation (see key below);Equivalent mg bone powder used for library preparation ;Shotgun raw sequences;Shotgun fraction raw sequences mapping to hg19;mtDNA sequences in alignment;mtDNA sequences aligning to target;Aligned mtDNA sequences remaining after deduping;mtDNA coverage;mtDNA median read length;mtDNA fraction damaged in last base;mtDNA haplogroup;mtDNA match fraction;mtDNA match fraction   95% CI;Perform 1240k capture?;1240k captured in pool? (number of libraries in pool);Used in analyses?
S2730.E1.L4;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,4;1250267;0,0087;1202614;15193;3956;7,99;34;0,332;M7b1a1;0,967;[0.946,0.981];Yes;Yes (4);Yes
S2730.E1.L5;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,4;1288439;0,0127;1694408;23112;5834;11,5;33;0,33;M7b1a1+(16192);0,981;[0.968,0.989];Yes;Yes (4);Yes
S2730.E2.L1;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;5,8;88584;0,0023;525932;1103;387;0,831;36;0,379;..;..;..;Yes;No;Yes
S2730.E2.L2;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;17,3;460132;0,0038;1154990;2046;707;1,48;35;0,35;..;..;..;Yes;Yes (2);Yes
S2730.E3.L2;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;22,5;469634;0,0044;865453;1598;928;1,97;35;0,342;..;..;..;Yes;Yes (2);Yes
S7244.E1.L1;I1137;VN39;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,4;396394;0,014;1030183;7855;3131;6,37;34;0,343;M7b'c;0,916;[0.856,0.956];Yes;No;Yes
S7248.E1.L1;I1137;VN46;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];3;8,8;300259;0,0076;642430;2681;1104;2,32;35;0,395;R0;0,962;[0.855,0.989];Yes;No;Yes
S1137.E1.L2;I1137;VN39, VN46, 0.7.MB.H2.M16;minus;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3255452;0,0032;588772;1772;1150;2,49;36;0,674;N;0,913;[0.468,0.990];Yes;Yes (4);No^
S1137.E1.L3;I1137;VN39, VN46, 0.7.MB.H2.M16;minus;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3255452;0,0037;650141;2078;1317;2,86;36;0,711;H2a2a;0,995;[0.892,0.999];Yes;Yes (4);No^
S1137.E1.L4;I1137;VN39, VN46, 0.7.MB.H2.M16;minus;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3255452;0,0041;630528;1991;1299;2,83;36;0,703;H2a2a;0,978;[0.879,0.996];Yes;Yes (4);No^
S1137.E1.L5;I1137;VN39, VN46, 0.7.MB.H2.M16;minus;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;13,2;3255452;0,0031;531957;1673;1054;2,3;36;0,733;H2a;0,968;[0.803,0.993];Yes;Yes (4);No^
S2730.E1.L1;I1137;VN39;minus;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;[42, 43];1;25,3;215675;0,0448;1411610;10604;4309;8,87;34;0,65;M7b1a1+(16192);..;..;Yes;No;No^
S1137.E2.L1;I1137;VN39, VN46, 0.7.MB.H2.M16;partial;petrous;1882-1745 calBCE (3480±20, PSUAMS-2410);Vietnam_Neolithic;Man Bac;Vietnam;*;3;8,3;157973;0,0019;495493;488;155;0,324;36;0,394;..;..;..;No;;No
